Word_Sim,Character-1,Character-2,C&B-Subtitle-raw-W,C&B-Subtitle-log-W,HD_M,Stroke-mean-Sim,Neighborhood-mean,pinyin,pinyinword
一刀,一,刀,,,5.5,1.5,277.5,"['yi', 'dao']",yidao
一口,一,口,,,5.5,2.0,269.5,"['yi', 'kou']",yikou
一分,一,分,952.0,2.98,8.0,2.5,292.0,"['yi', 'fen']",yifen
一切,一,切,21709.0,4.34,8.0,2.5,291.5,"['yi', 'qie']",yiqie
一心,一,心,137.0,2.14,9.5,2.5,277.0,"['yi', 'xin']",yixin
一手,一,手,107.0,2.03,6.5,2.5,269.5,"['yi', 'shou']",yishou
一斤,一,斤,,,9.5,2.5,277.5,"['yi', 'jin']",yijin
一半,一,半,2633.0,3.42,8.5,3.0,291.5,"['yi', 'ban']",yiban
一旦,一,旦,2922.0,3.47,10.0,3.0,291.5,"['yi', 'dan']",yidan
一生,一,生,2437.0,3.39,8.0,3.0,278.0,"['yi', 'sheng']",yisheng
一共,一,共,507.0,2.71,6.0,3.5,291.5,"['yi', 'gong']",yigong
一再,一,再,68.0,1.83,6.5,3.5,291.5,"['yi', 'zai']",yizai
一同,一,同,276.0,2.44,9.5,3.5,249.0,"['yi', 'tong']",yitong
一向,一,向,510.0,2.71,8.0,3.5,292.0,"['yi', 'xiang']",yixiang
一早,一,早,326.0,2.51,7.5,3.5,269.5,"['yi', 'zao']",yizao
一些,一,些,17133.0,4.23,6.5,4.5,278.0,"['yi', 'xie']",yixie
一并,一,并,27.0,1.43,7.0,3.5,291.5,"['yi', 'bing']",yibing
一来,一,来,162.0,2.21,7.5,4.0,248.0,"['yi', 'lai']",yilai
一味,一,味,10.0,1.0,11.5,4.5,292.0,"['yi', 'wei']",yiwei
一定,一,定,20273.0,4.31,7.5,4.5,291.5,"['yi', 'ding']",yiding
一直,一,直,24551.0,4.39,11.0,4.5,249.0,"['yi', 'zhi']",yizhi
一则,一,则,8.0,0.9,8.0,3.5,247.5,"['yi', 'ze']",yize
一度,一,度,80.0,1.9,9.0,5.0,292.0,"['yi', 'du']",yidu
一律,一,律,31.0,1.49,7.5,5.0,291.5,"['yi', 'lv']",yilv
一流,一,流,346.0,2.54,10.0,5.5,249.0,"['yi', 'liu']",yiliu
一致,一,致,1087.0,3.04,16.0,5.5,292.0,"['yi', 'zhi']",yizhi
一面,一,面,887.0,2.95,6.0,5.0,291.5,"['yi', 'mian']",yimian
一旁,一,旁,129.0,2.11,6.5,5.5,248.5,"['yi', 'pang']",yipang
一时,一,时,583.0,2.77,10.0,4.0,249.0,"['yi', 'shi']",yishi
一般,一,般,2586.0,3.41,9.0,5.5,277.5,"['yi', 'ban']",yiban
一起,一,起,32889.0,4.52,7.5,5.5,270.0,"['yi', 'qi']",yiqi
一阵,一,阵,499.0,2.7,8.5,3.5,291.5,"['yi', 'zhen']",yizhen
一带,一,带,172.0,2.24,10.0,5.0,291.5,"['yi', 'dai']",yidai
一贯,一,贯,163.0,2.21,9.0,4.5,291.5,"['yi', 'guan']",yiguan
一块,一,块,233.0,2.37,8.5,4.0,290.5,"['yi', 'kuai']",yikuai
一会,一,会,1013.0,3.01,12.5,3.5,292.0,"['yi', 'hui']",yihui
一概,一,概,17.0,1.23,6.5,7.0,291.5,"['yi', 'gai']",yigai
一经,一,经,16.0,1.2,12.0,4.5,277.5,"['yi', 'jing']",yijing
一路,一,路,1001.0,3.0,11.5,7.0,291.5,"['yi', 'lu']",yilu
一道,一,道,64.0,1.81,9.0,6.5,291.5,"['yi', 'dao']",yidao
一齐,一,齐,44.0,1.64,16.5,3.5,249.0,"['yi', 'qi']",yiqi
一样,一,样,28861.0,4.46,7.0,5.5,292.0,"['yi', 'yang']",yiyang
一点,一,点,20342.0,4.31,7.0,5.0,269.5,"['yi', 'dian']",yidian
一边,一,边,2594.0,3.41,7.5,3.0,277.5,"['yi', 'bian']",yibian
一体,一,体,126.0,2.1,5.5,4.0,270.0,"['yi', 'ti']",yiti
丁级,丁,级,,,11.5,4.0,248.5,"['ding', 'ji']",dingji
七夕,七,夕,,,8.0,2.5,292.0,"['qi', 'xi']",qixi
七彩,七,彩,4.0,0.6,7.0,6.5,270.0,"['qi', 'cai']",qicai
乃至,乃,至,21.0,1.32,13.0,4.0,283.0,"['nai', 'zhi']",naizhi
了却,了,却,9.0,0.95,4.0,4.5,283.0,"['liao', 'que']",liaoque
了得,了,得,14.0,1.15,2.0,6.5,260.0,"['liao', 'de']",liaode
了结,了,结,475.0,2.68,8.0,5.5,240.5,"['liao', 'jie']",liaojie
了解,了,解,10127.0,4.01,3.5,7.5,261.5,"['liao', 'jie']",liaojie
了断,了,断,126.0,2.1,4.0,6.5,283.0,"['liao', 'duan']",liaoduan
二手,二,手,89.0,1.95,2.5,3.0,283.0,"['er', 'shou']",ershou
二叔,二,叔,,,3.5,5.0,262.5,"['er', 'shu']",ershu
二姑,二,姑,,,6.5,5.0,291.0,"['er', 'gu']",ergu
二胡,二,胡,,,6.0,5.5,262.5,"['er', 'hu']",erhu
二等,二,等,63.0,1.8,1.5,7.0,283.0,"['er', 'deng']",erdeng
二楼,二,楼,,,2.5,7.5,262.0,"['er', 'lou']",erlou
人力,人,力,168.0,2.23,14.0,2.0,262.5,"['ren', 'li']",renli
人口,人,口,555.0,2.74,3.0,2.5,240.0,"['ren', 'kou']",renkou
人士,人,士,592.0,2.77,17.0,2.5,262.5,"['ren', 'shi']",renshi
人工,人,工,204.0,2.31,8.5,2.5,248.0,"['ren', 'gong']",rengong
人才,人,才,443.0,2.65,4.5,2.5,219.5,"['ren', 'cai']",rencai
人手,人,手,162.0,2.21,4.0,3.0,240.0,"['ren', 'shou']",renshou
人文,人,文,12.0,1.08,5.5,3.0,219.5,"['ren', 'wen']",renwen
人世,人,世,125.0,2.1,17.0,3.5,262.5,"['ren', 'shi']",renshi
人奶,人,奶,,,4.5,3.5,239.5,"['ren', 'nai']",rennai
人民,人,民,1661.0,3.22,4.5,3.5,218.5,"['ren', 'min']",renmin
人生,人,生,2852.0,3.46,5.5,3.5,248.5,"['ren', 'sheng']",rensheng
人名,人,名,28.0,1.45,6.0,4.0,219.0,"['ren', 'ming']",renming
人次,人,次,3.0,0.48,4.0,4.0,262.0,"['ren', 'ci']",renci
人身,人,身,189.0,2.28,7.5,4.5,248.5,"['ren', 'shen']",renshen
人事,人,事,112.0,2.05,17.0,5.0,262.5,"['ren', 'shi']",renshi
人命,人,命,178.0,2.25,3.0,5.0,262.0,"['ren', 'ming']",renming
人性,人,性,373.0,2.57,5.0,5.0,262.5,"['ren', 'xing']",renxing
人物,人,物,2014.0,3.3,9.0,5.0,262.5,"['ren', 'wu']",renwu
人品,人,品,64.0,1.81,3.0,5.5,240.5,"['ren', 'pin']",renpin
人流,人,流,32.0,1.51,7.5,6.0,219.5,"['ren', 'liu']",renliu
人为,人,为,80.0,1.9,9.0,3.0,219.5,"['ren', 'wei']",renwei
人们,人,们,7990.0,3.9,3.0,3.5,114.5,"['ren', 'men']",renmen
人员,人,员,2781.0,3.44,10.0,4.5,219.5,"['ren', 'yuan']",renyuan
人家,人,家,1027.0,3.01,9.0,6.0,248.5,"['ren', 'jia']",renjia
人格,人,格,362.0,2.56,7.0,6.0,219.5,"['ren', 'ge']",renge
人马,人,马,129.0,2.11,4.5,2.5,240.5,"['ren', 'ma']",renma
人参,人,参,30.0,1.48,3.5,5.0,248.0,"['ren', 'shen']",renshen
人情,人,情,207.0,2.32,4.0,6.5,219.5,"['ren', 'qing']",renqing
人造,人,造,186.0,2.27,5.5,6.0,262.0,"['ren', 'zao']",renzao
人间,人,间,350.0,2.54,10.5,4.5,248.0,"['ren', 'jian']",renjian
人猿,人,猿,26.0,1.41,10.0,7.5,219.5,"['ren', 'yuan']",renyuan
人瑞,人,瑞,,,5.0,7.5,261.5,"['ren', 'rui']",renrui
人群,人,群,622.0,2.79,3.5,7.5,218.0,"['ren', 'qun']",renqun
人道,人,道,86.0,1.93,6.5,7.0,262.0,"['ren', 'dao']",rendao
人种,人,种,84.0,1.92,4.5,5.5,240.0,"['ren', 'zhong']",renzhong
人称,人,称,41.0,1.61,3.5,6.0,248.5,"['ren', 'cheng']",rencheng
人际,人,际,29.0,1.46,14.5,4.5,262.5,"['ren', 'ji']",renji
人影,人,影,56.0,1.75,4.0,8.5,240.5,"['ren', 'ying']",renying
人数,人,数,448.0,2.65,7.0,7.5,240.5,"['ren', 'shu']",renshu
人潮,人,潮,,,4.0,8.5,219.0,"['ren', 'chao']",renchao
人缘,人,缘,51.0,1.71,10.0,7.0,219.5,"['ren', 'yuan']",renyuan
人质,人,质,1014.0,3.01,8.5,5.0,219.5,"['ren', 'zhi']",renzhi
人选,人,选,609.0,2.78,3.0,5.5,240.0,"['ren', 'xuan']",renxuan
人证,人,证,19.0,1.28,5.0,4.5,262.0,"['ren', 'zheng']",renzheng
人类,人,类,3857.0,3.59,3.5,5.5,262.5,"['ren', 'lei']",renlei
人权,人,权,166.0,2.22,7.0,4.0,219.5,"['ren', 'quan']",renquan
人体,人,体,484.0,2.68,3.0,4.5,240.5,"['ren', 'ti']",renti
入口,入,口,528.0,2.72,2.5,2.5,283.0,"['ru', 'kou']",rukou
入手,入,手,104.0,2.02,3.5,3.0,283.0,"['ru', 'shou']",rushou
入世,入,世,8.0,0.9,16.5,3.5,305.5,"['ru', 'shi']",rushi
入主,入,主,23.0,1.36,5.5,3.5,283.5,"['ru', 'zhu']",ruzhu
入冬,入,冬,2.0,0.3,4.5,3.5,291.0,"['ru', 'dong']",rudong
入伍,入,伍,116.0,2.06,6.0,4.0,283.5,"['ru', 'wu']",ruwu
入伙,入,伙,149.0,2.17,3.5,4.0,283.0,"['ru', 'huo']",ruhuo
入定,入,定,9.0,0.95,4.5,5.0,305.0,"['ru', 'ding']",ruding
入股,入,股,8.0,0.9,5.5,5.0,283.0,"['ru', 'gu']",rugu
入门,入,门,48.0,1.68,3.0,2.5,262.0,"['ru', 'men']",rumen
入侵,入,侵,674.0,2.83,3.5,5.5,290.5,"['ru', 'qin']",ruqin
入城,入,城,,,7.5,5.5,262.5,"['ru', 'cheng']",rucheng
入流,入,流,,,7.0,6.0,262.5,"['ru', 'liu']",ruliu
入席,入,席,18.0,1.26,6.5,6.0,262.5,"['ru', 'xi']",ruxi
入座,入,座,34.0,1.53,4.5,6.0,304.5,"['ru', 'zuo']",ruzuo
入时,入,时,7.0,0.85,7.0,4.5,262.5,"['ru', 'shi']",rushi
入神,入,神,10.0,1.0,3.0,5.5,262.5,"['ru', 'shen']",rushen
入迷,入,迷,32.0,1.51,6.0,5.5,262.5,"['ru', 'mi']",rumi
入院,入,院,87.0,1.94,4.5,5.5,305.5,"['ru', 'yuan']",ruyuan
入眼,入,眼,2.0,0.3,4.5,6.5,283.5,"['ru', 'yan']",ruyan
入围,入,围,48.0,1.68,8.5,4.5,262.5,"['ru', 'wei']",ruwei
入场,入,场,104.0,2.02,3.5,4.0,283.5,"['ru', 'chang']",ruchang
入会,入,会,60.0,1.78,9.5,4.0,305.5,"['ru', 'hui']",ruhui
入境,入,境,89.0,1.95,8.0,8.0,305.0,"['ru', 'jing']",rujing
入狱,入,狱,246.0,2.39,23.0,5.5,290.5,"['ru', 'yu']",ruyu
入睡,入,睡,238.0,2.38,3.5,7.5,304.5,"['ru', 'shui']",rushui
入账,入,账,13.0,1.11,6.0,5.0,305.0,"['ru', 'zhang']",ruzhang
入学,入,学,150.0,2.18,2.5,5.0,262.5,"['ru', 'xue']",ruxue
入选,入,选,122.0,2.09,2.5,5.5,283.0,"['ru', 'xuan']",ruxuan
入殓,入,殓,2.0,0.3,5.5,6.5,305.0,"['ru', 'lian']",rulian
入营,入,营,,,7.5,6.5,262.5,"['ru', 'ying']",ruying
入声,入,声,,,5.0,4.5,291.5,"['ru', 'sheng']",rusheng
入籍,入,籍,8.0,0.9,11.5,11.0,262.5,"['ru', 'ji']",ruji
入党,入,党,,,3.5,6.0,283.0,"['ru', 'dang']",rudang
八字,八,字,17.0,1.23,6.0,4.0,292.0,"['ba', 'zi']",bazi
八成,八,成,6.0,0.78,9.0,4.0,249.5,"['ba', 'cheng']",bacheng
八卦,八,卦,468.0,2.67,4.5,5.0,292.0,"['ba', 'gua']",bagua
刀刃,刀,刃,64.0,1.81,3.5,2.5,291.0,"['dao', 'ren']",daoren
刀叉,刀,叉,25.0,1.4,3.0,2.5,277.0,"['dao', 'cha']",daocha
刀口,刀,口,24.0,1.38,1.0,2.5,269.0,"['dao', 'kou']",daokou
刀子,刀,子,351.0,2.55,3.5,2.5,269.0,"['dao', 'zi']",daozi
刀片,刀,片,78.0,1.89,2.0,3.0,290.5,"['dao', 'pian']",daopian
刀尖,刀,尖,15.0,1.18,8.5,4.0,277.0,"['dao', 'jian']",daojian
刀具,刀,具,30.0,1.48,8.0,5.0,291.5,"['dao', 'ju']",daoju
刀柄,刀,柄,29.0,1.46,2.5,5.5,291.0,"['dao', 'bing']",daobing
刀疤,刀,疤,,,4.0,5.5,278.0,"['dao', 'ba']",daoba
刀背,刀,背,2.0,0.3,3.0,5.5,277.0,"['dao', 'bei']",daobei
刀面,刀,面,,,1.5,5.5,291.0,"['dao', 'mian']",daomian
刀痕,刀,痕,3.0,0.48,1.0,6.5,248.0,"['dao', 'hen']",daohen
刀伤,刀,伤,64.0,1.81,2.5,4.0,277.0,"['dao', 'shang']",daoshang
刀枪,刀,枪,12.0,1.08,1.5,5.0,277.5,"['dao', 'qiang']",daoqiang
刀剑,刀,剑,6.0,0.78,10.0,5.5,291.0,"['dao', 'jian']",daojian
刀锋,刀,锋,110.0,2.04,5.0,7.0,277.0,"['dao', 'feng']",daofeng
刁民,刁,民,2.0,0.3,5.0,3.5,247.5,"['diao', 'min']",diaomin
刁难,刁,难,39.0,1.59,5.5,6.0,247.0,"['diao', 'nan']",diaonan
刁蛮,刁,蛮,,,5.0,7.0,248.0,"['diao', 'man']",diaoman
刁钻,刁,钻,9.0,0.95,3.5,6.0,276.0,"['diao', 'zuan']",diaozuan
力求,力,求,29.0,1.46,16.0,4.5,262.5,"['li', 'qiu']",liqiu
力度,力,度,88.0,1.94,15.5,5.5,306.0,"['li', 'du']",lidu
力气,力,气,532.0,2.73,18.0,3.0,306.0,"['li', 'qi']",liqi
力量,力,量,3150.0,3.5,14.0,7.0,305.5,"['li', 'liang']",liliang
力学,力,学,9.0,0.95,12.0,5.0,263.0,"['li', 'xue']",lixue
力战,力,战,3.0,0.48,16.0,5.5,305.5,"['li', 'zhan']",lizhan
力荐,力,荐,,,21.0,5.5,305.5,"['li', 'jian']",lijian
力劝,力,劝,,,12.5,3.0,306.0,"['li', 'quan']",liquan
匕首,匕,首,131.0,2.12,,5.5,,"['bi', 'shou']",bishou
十分,十,分,1900.0,3.28,8.0,3.0,263.0,"['shi', 'fen']",shifen
十字,十,字,152.0,2.18,7.5,4.0,262.5,"['shi', 'zi']",shizi
十成,十,成,,,10.5,4.0,220.0,"['shi', 'cheng']",shicheng
十足,十,足,388.0,2.59,7.0,4.5,219.5,"['shi', 'zu']",shizu
十岁,十,岁,,,9.0,4.0,262.5,"['shi', 'sui']",shisui
十诫,十,诫,,,9.0,5.5,263.0,"['shi', 'jie']",shijie
卜卦,卜,卦,,,3.5,5.0,282.5,"['bu', 'gua']",bugua
丈夫,丈,夫,6115.0,3.79,8.0,3.5,291.5,"['zhang', 'fu']",zhangfu
三思,三,思,2.0,0.3,7.0,6.0,277.0,"['san', 'si']",sansi
上山,上,山,74.0,1.87,8.0,3.0,291.0,"['shang', 'shan']",shangshan
上升,上,升,446.0,2.65,5.0,3.5,291.5,"['shang', 'sheng']",shangsheng
上午,上,午,595.0,2.77,6.0,3.5,283.5,"['shang', 'wu']",shangwu
上天,上,天,131.0,2.12,3.0,3.5,291.0,"['shang', 'tian']",shangtian
上心,上,心,35.0,1.54,6.5,3.5,290.5,"['shang', 'xin']",shangxin
上手,上,手,59.0,1.77,3.5,3.5,283.0,"['shang', 'shou']",shangshou
上方,上,方,161.0,2.21,4.0,3.5,291.5,"['shang', 'fang']",shangfang
上去,上,去,1973.0,3.3,3.5,4.0,305.0,"['shang', 'qu']",shangqu
上台,上,台,493.0,2.69,4.0,4.0,262.0,"['shang', 'tai']",shangtai
上司,上,司,661.0,2.82,8.0,4.0,291.0,"['shang', 'si']",shangsi
上市,上,市,120.0,2.08,16.5,4.0,305.5,"['shang', 'shi']",shangshi
上任,上,任,89.0,1.95,5.0,4.5,305.0,"['shang', 'ren']",shangren
上吊,上,吊,123.0,2.09,4.5,4.5,305.0,"['shang', 'diao']",shangdiao
上旬,上,旬,1.0,0.0,6.0,4.5,262.0,"['shang', 'xun']",shangxun
上次,上,次,1672.0,3.22,3.5,4.5,305.0,"['shang', 'ci']",shangci
上色,上,色,30.0,1.48,5.0,4.5,304.0,"['shang', 'se']",shangse
上衣,上,衣,373.0,2.57,7.0,4.5,291.5,"['shang', 'yi']",shangyi
上床,上,床,,,3.0,5.0,262.5,"['shang', 'chuang']",shangchuang
上身,上,身,165.0,2.22,7.0,5.0,291.5,"['shang', 'shen']",shangshen
上车,上,车,557.0,2.75,2.5,3.5,291.0,"['shang', 'che']",shangche
上京,上,京,,,9.0,5.5,291.0,"['shang', 'jing']",shangjing
上来,上,来,522.0,2.72,4.5,5.0,261.5,"['shang', 'lai']",shanglai
上周,上,周,1552.0,3.19,4.5,5.5,291.5,"['shang', 'zhou']",shangzhou
上岸,上,岸,51.0,1.71,5.5,5.5,305.0,"['shang', 'an']",shangan
上升,上,升,446.0,2.65,5.0,3.5,291.5,"['shang', 'sheng']",shangsheng
上空,上,空,178.0,2.25,2.5,5.5,291.0,"['shang', 'kong']",shangkong
上门,上,门,440.0,2.64,3.0,3.0,262.0,"['shang', 'men']",shangmen
上前,上,前,103.0,2.01,6.0,6.0,262.5,"['shang', 'qian']",shangqian
上品,上,品,7.0,0.85,2.5,6.0,283.5,"['shang', 'pin']",shangpin
上帝,上,帝,14605.0,4.16,7.0,6.0,305.5,"['shang', 'di']",shangdi
上映,上,映,134.0,2.13,3.0,6.0,305.5,"['shang', 'ying']",shangying
上流,上,流,105.0,2.02,7.0,6.5,262.5,"['shang', 'liu']",shangliu
上述,上,述,52.0,1.72,7.0,5.5,305.5,"['shang', 'shu']",shangshu
上限,上,限,39.0,1.59,8.0,5.5,305.5,"['shang', 'xian']",shangxian
上面,上,面,5363.0,3.73,3.0,6.0,305.0,"['shang', 'mian']",shangmian
上风,上,风,62.0,1.79,6.5,3.5,291.0,"['shang', 'feng']",shangfeng
上香,上,香,,,5.5,6.0,291.5,"['shang', 'xiang']",shangxiang
上乘,上,乘,16.0,1.2,7.5,6.5,262.5,"['shang', 'cheng']",shangcheng
上校,上,校,1395.0,3.14,6.0,6.5,305.0,"['shang', 'xiao']",shangxiao
上班,上,班,2221.0,3.35,6.0,6.5,291.0,"['shang', 'ban']",shangban
上级,上,级,265.0,2.42,11.5,4.5,262.5,"['shang', 'ji']",shangji
上阵,上,阵,71.0,1.85,5.5,4.5,305.0,"['shang', 'zhen']",shangzhen
上将,上,将,178.0,2.25,6.0,6.0,291.0,"['shang', 'jiang']",shangjiang
上尉,上,尉,1175.0,3.07,8.5,7.0,305.5,"['shang', 'wei']",shangwei
上船,上,船,,,3.5,7.0,262.5,"['shang', 'chuan']",shangchuan
上报,上,报,148.0,2.17,5.5,5.0,305.0,"['shang', 'bao']",shangbao
上场,上,场,648.0,2.81,3.5,4.5,283.5,"['shang', 'chang']",shangchang
上扬,上,扬,13.0,1.11,5.5,4.5,262.5,"['shang', 'yang']",shangyang
上朝,上,朝,4.0,0.6,3.5,7.5,291.0,"['shang', 'chao']",shangchao
上款,上,款,1.0,0.0,2.5,7.5,282.5,"['shang', 'kuan']",shangkuan
上游,上,游,69.0,1.84,6.0,7.5,262.5,"['shang', 'you']",shangyou
上等,上,等,110.0,2.04,2.5,7.5,283.0,"['shang', 'deng']",shangdeng
上策,上,策,26.0,1.41,4.5,7.5,304.0,"['shang', 'ce']",shangce
上街,上,街,113.0,2.05,6.0,7.5,291.5,"['shang', 'jie']",shangjie
上诉,上,诉,310.0,2.49,6.5,5.0,305.0,"['shang', 'su']",shangsu
上进,上,进,30.0,1.48,7.0,5.0,305.0,"['shang', 'jin']",shangjin
上集,上,集,59.0,1.77,11.5,7.5,262.5,"['shang', 'ji']",shangji
上当,上,当,139.0,2.14,3.5,4.5,291.0,"['shang', 'dang']",shangdang
上路,上,路,287.0,2.46,8.5,8.0,305.0,"['shang', 'lu']",shanglu
上榜,上,榜,,,4.0,8.5,283.0,"['shang', 'bang']",shangbang
上演,上,演,403.0,2.61,4.5,8.5,283.5,"['shang', 'yan']",shangyan
上涨,上,涨,64.0,1.81,6.0,6.5,305.0,"['shang', 'zhang']",shangzhang
上宾,上,宾,7.0,0.85,4.5,6.5,290.0,"['shang', 'bin']",shangbin
上层,上,层,129.0,2.11,2.5,5.0,261.5,"['shang', 'ceng']",shangceng
上楼,上,楼,237.0,2.37,3.5,8.0,262.0,"['shang', 'lou']",shanglou
上课,上,课,815.0,2.91,5.0,6.5,305.5,"['shang', 'ke']",shangke
上学,上,学,1241.0,3.09,2.5,5.5,262.5,"['shang', 'xue']",shangxue
上头,上,头,200.0,2.3,3.0,4.0,262.0,"['shang', 'tou']",shangtou
上联,上,联,,,5.5,7.5,262.0,"['shang', 'lian']",shanglian
上锁,上,锁,,,4.0,7.5,282.5,"['shang', 'suo']",shangsuo
上颚,上,颚,12.0,1.08,9.0,9.0,305.0,"['shang', 'e']",shange
上边,上,边,110.0,2.04,4.5,4.0,291.0,"['shang', 'bian']",shangbian
上瘾,上,瘾,315.0,2.5,4.5,9.5,283.5,"['shang', 'yin']",shangyin
下人,下,人,13.0,1.11,4.5,2.5,262.0,"['xia', 'ren']",xiaren
下凡,下,凡,28.0,1.45,7.0,3.0,262.5,"['xia', 'fan']",xiafan
下山,下,山,33.0,1.52,8.0,3.0,291.0,"['xia', 'shan']",xiashan
下工,下,工,2.0,0.3,8.0,3.0,291.0,"['xia', 'gong']",xiagong
下午,下,午,2928.0,3.47,6.0,3.5,283.5,"['xia', 'wu']",xiawu
下巴,下,巴,392.0,2.59,5.5,3.5,292.0,"['xia', 'ba']",xiaba
下手,下,手,679.0,2.83,3.5,3.5,283.0,"['xia', 'shou']",xiashou
下文,下,文,18.0,1.26,5.0,3.5,262.5,"['xia', 'wen']",xiawen
下方,下,方,106.0,2.03,4.0,3.5,291.5,"['xia', 'fang']",xiafang
下水,下,水,108.0,2.03,2.5,3.5,282.5,"['xia', 'shui']",xiashui
下令,下,令,291.0,2.46,3.0,4.0,305.5,"['xia', 'ling']",xialing
下册,下,册,,,4.5,4.0,304.0,"['xia', 'ce']",xiace
下去,下,去,7767.0,3.89,3.5,4.0,305.0,"['xia', 'qu']",xiaqu
下台,下,台,112.0,2.05,4.0,4.0,262.0,"['xia', 'tai']",xiatai
下列,下,列,21.0,1.32,6.0,4.5,304.5,"['xia', 'lie']",xialie
下旬,下,旬,5.0,0.7,6.0,4.5,262.0,"['xia', 'xun']",xiaxun
下次,下,次,2248.0,3.35,3.5,4.5,305.0,"['xia', 'ci']",xiaci
下床,下,床,,,3.0,5.0,262.5,"['xia', 'chuang']",xiachuang
下身,下,身,63.0,1.8,7.0,5.0,291.5,"['xia', 'shen']",xiashen
下车,下,车,257.0,2.41,2.5,3.5,291.0,"['xia', 'che']",xiache
下来,下,来,12748.0,4.11,4.5,5.0,261.5,"['xia', 'lai']",xialai
下周,下,周,,,4.5,5.5,291.5,"['xia', 'zhou']",xiazhou
下坡,下,坡,28.0,1.45,3.0,5.5,291.5,"['xia', 'po']",xiapo
下放,下,放,22.0,1.34,2.5,5.5,305.5,"['xia', 'fang']",xiafang
下注,下,注,,,7.0,5.5,305.5,"['xia', 'zhu']",xiazhu
下肢,下,肢,26.0,1.41,7.5,5.5,291.5,"['xia', 'zhi']",xiazhi
下雨,下,雨,250.0,2.4,6.5,5.5,282.5,"['xia', 'yu']",xiayu
下品,下,品,1.0,0.0,2.5,6.0,283.5,"['xia', 'pin']",xiapin
下垂,下,垂,64.0,1.81,5.0,5.5,261.5,"['xia', 'chui']",xiachui
下流,下,流,161.0,2.21,7.0,6.5,262.5,"['xia', 'liu']",xialiu
下述,下,述,,,7.0,5.5,305.5,"['xia', 'shu']",xiashu
下降,下,降,538.0,2.73,4.5,5.5,305.0,"['xia', 'jiang']",xiajiang
下限,下,限,2.0,0.3,8.0,5.5,305.5,"['xia', 'xian']",xiaxian
下面,下,面,3771.0,3.58,3.0,6.0,305.0,"['xia', 'mian']",xiamian
下风,下,风,26.0,1.41,6.5,3.5,291.0,"['xia', 'feng']",xiafeng
下唇,下,唇,,,4.0,6.5,262.0,"['xia', 'chun']",xiachun
下挫,下,挫,2.0,0.3,4.0,6.5,304.5,"['xia', 'cuo']",xiacuo
下海,下,海,31.0,1.49,3.0,6.5,283.5,"['xia', 'hai']",xiahai
下班,下,班,830.0,2.92,6.0,6.5,291.0,"['xia', 'ban']",xiaban
下级,下,级,29.0,1.46,11.5,4.5,262.5,"['xia', 'ji']",xiaji
下岗,下,岗,32.0,1.51,5.5,5.0,291.0,"['xia', 'gang']",xiagang
下货,下,货,,,9.0,5.5,305.0,"['xia', 'huo']",xiahuo
下陷,下,陷,4.0,0.6,8.0,6.5,305.5,"['xia', 'xian']",xiaxian
下雪,下,雪,171.0,2.23,3.0,7.0,283.5,"['xia', 'xue']",xiaxue
下场,下,场,311.0,2.49,3.5,4.5,283.5,"['xia', 'chang']",xiachang
下棋,下,棋,96.0,1.98,13.5,7.5,262.5,"['xia', 'qi']",xiaqi
下款,下,款,,,2.5,7.5,282.5,"['xia', 'kuan']",xiakuan
下游,下,游,37.0,1.57,6.0,7.5,262.5,"['xia', 'you']",xiayou
下笔,下,笔,5.0,0.7,4.5,6.5,283.5,"['xia', 'bi']",xiabi
下等,下,等,27.0,1.43,2.5,7.5,283.0,"['xia', 'deng']",xiadeng
下策,下,策,11.0,1.04,4.5,7.5,304.0,"['xia', 'ce']",xiace
下跌,下,跌,39.0,1.59,6.5,7.5,261.5,"['xia', 'die']",xiadie
下乡,下,乡,2.0,0.3,5.5,3.0,291.5,"['xia', 'xiang']",xiaxiang
下集,下,集,134.0,2.13,11.5,7.5,262.5,"['xia', 'ji']",xiaji
下嫁,下,嫁,,,4.5,8.0,305.5,"['xia', 'jia']",xiajia
下滑,下,滑,103.0,2.01,4.5,7.5,262.0,"['xia', 'hua']",xiahua
下落,下,落,371.0,2.57,5.5,7.5,305.0,"['xia', 'luo']",xialuo
下葬,下,葬,86.0,1.93,4.0,7.5,304.5,"['xia', 'zang']",xiazang
下跪,下,跪,48.0,1.68,3.5,8.0,305.0,"['xia', 'gui']",xiagui
下榻,下,榻,10.0,1.0,6.5,8.5,305.0,"['xia', 'ta']",xiata
下狱,下,狱,1.0,0.0,23.0,6.0,290.5,"['xia', 'yu']",xiayu
下层,下,层,48.0,1.68,2.5,5.0,261.5,"['xia', 'ceng']",xiaceng
下厨,下,厨,48.0,1.68,5.0,7.5,262.5,"['xia', 'chu']",xiachu
下楼,下,楼,,,3.5,8.0,262.0,"['xia', 'lou']",xialou
下课,下,课,116.0,2.06,5.0,6.5,305.5,"['xia', 'ke']",xiake
下贱,下,贱,78.0,1.89,11.5,6.0,305.0,"['xia', 'jian']",xiajian
下联,下,联,,,5.5,7.5,262.0,"['xia', 'lian']",xialian
下锅,下,锅,,,3.0,7.5,291.5,"['xia', 'guo']",xiaguo
下颚,下,颚,73.0,1.86,9.0,9.0,305.0,"['xia', 'e']",xiae
下属,下,属,129.0,2.11,6.5,7.5,283.5,"['xia', 'shu']",xiashu
