Char,Stroke,HD,Num-neighbor,C&B_raw,C&B_log
印,5,4.0,306.0,6629.0,3.82
危,6,4.0,278.0,7715.0,3.89
吃,6,6.0,278.0,33829.0,4.53
各,6,4.0,306.0,9490.0,3.98
合,6,12.0,219.0,27378.0,4.44
吉,6,19.0,220.0,8890.0,3.95
吊,6,5.0,305.0,1272.0,3.1
同,6,9.0,220.0,42995.0,4.63
名,6,7.0,219.0,43229.0,4.64
后,6,4.0,305.0,109915.0,5.04
吏,6,23.0,306.0,23.0,1.36
吐,6,4.0,262.0,2543.0,3.41
向,6,6.0,306.0,24596.0,4.39
回,6,2.0,220.0,92711.0,4.97
因,6,7.0,278.0,77540.0,4.89
囡,6,1.0,277.0,2.0,0.3
在,6,3.0,305.0,546367.0,5.74
地,6,10.0,306.0,78129.0,4.89
多,6,4.0,219.0,104049.0,5.02
夷,6,16.0,220.0,720.0,2.86
奸,6,16.0,277.0,1854.0,3.27
她,6,7.0,277.0,230468.0,5.36
好,6,8.0,304.0,412760.0,5.62
如,6,5.0,219.0,113103.0,5.05
妃,6,7.0,278.0,214.0,2.33
妄,6,4.0,305.0,740.0,2.87
孖,6,13.0,277.0,3.0,0.48
字,6,5.0,305.0,22743.0,4.36
存,6,1.0,219.0,9155.0,3.96
宅,6,2.0,219.0,610.0,2.79
宇,6,9.0,260.0,2001.0,3.3
守,6,3.0,261.0,6235.0,3.79
安,6,6.0,277.0,41719.0,4.62
寺,6,11.0,305.0,397.0,2.6
尖,6,16.0,277.0,2358.0,3.37
屹,6,37.0,306.0,38.0,1.58
州,6,5.0,278.0,6997.0,3.84
帆,6,10.0,220.0,424.0,2.63
年,6,6.0,219.0,54824.0,4.74
式,6,29.0,306.0,12142.0,4.08
忙,6,5.0,217.0,15130.0,4.18
成,6,11.0,220.0,61348.0,4.79
托,6,4.0,278.0,16277.0,4.21
扣,6,6.0,305.0,1912.0,3.28
收,6,1.0,277.0,19712.0,4.29
旨,6,11.0,262.0,362.0,2.56
早,6,5.0,261.0,26160.0,4.42
旭,6,11.0,305.0,107.0,2.03
曲,6,3.0,261.0,5121.0,3.71
有,6,6.0,262.0,533631.0,5.73
朱,6,10.0,278.0,1403.0,3.15
朽,6,2.0,261.0,229.0,2.36
次,6,3.0,305.0,58108.0,4.76
此,6,3.0,261.0,28050.0,4.45
死,6,1.0,261.0,71256.0,4.85
汗,6,11.0,305.0,1537.0,3.19
汝,6,2.0,261.0,100.0,2.0
江,6,8.0,277.0,780.0,2.89
池,6,6.0,220.0,2372.0,3.38
污,6,6.0,278.0,1379.0,3.14
灰,6,6.0,278.0,2140.0,3.33
牟,6,4.0,219.0,40.0,1.6
百,6,3.0,262.0,9469.0,3.98
竹,6,5.0,220.0,371.0,2.57
米,6,4.0,262.0,13160.0,4.12
羊,6,7.0,220.0,2285.0,3.36
羽,6,9.0,260.0,408.0,2.61
老,6,4.0,262.0,52688.0,4.72
考,6,4.0,260.0,11613.0,4.06
而,6,3.0,219.0,72462.0,4.86
耳,6,5.0,261.0,3964.0,3.6
肉,6,1.0,304.0,6996.0,3.84
肋,6,4.0,304.0,405.0,2.61
肌,6,22.0,278.0,1322.0,3.12
臣,6,8.0,218.0,467.0,2.67
自,6,5.0,305.0,98698.0,4.99
至,6,22.0,306.0,18394.0,4.26
臼,6,11.0,305.0,85.0,1.93
舌,6,3.0,220.0,1482.0,3.17
色,6,6.0,303.0,21624.0,4.33
血,6,2.0,262.0,14874.0,4.17
行,6,5.0,220.0,73109.0,4.86
衣,6,10.0,278.0,14941.0,4.17
西,6,24.0,278.0,59024.0,4.77
串,7,1.0,306.0,699.0,2.84
伯,7,15.0,220.0,6525.0,3.81
估,7,11.0,277.0,2862.0,3.46
伴,7,7.0,305.0,4854.0,3.69
伶,7,19.0,220.0,169.0,2.23
伸,7,10.0,278.0,1794.0,3.25
伺,7,11.0,305.0,198.0,2.3
似,6,11.0,305.0,7493.0,3.87
但,7,10.0,305.0,122236.0,5.09
伫,6,,,5.0,0.7
位,7,13.0,306.0,31427.0,4.5
低,7,4.0,278.0,5249.0,3.72
住,7,10.0,306.0,38482.0,4.59
佐,7,2.0,260.0,1029.0,3.01
何,7,12.0,219.0,37987.0,4.58
佚,7,,,1.0,0.0
佛,7,17.0,220.0,4016.0,3.6
作,7,5.0,304.0,68168.0,4.83
你,7,3.0,261.0,1444831.0,6.16
佣,7,2.0,304.0,1049.0,3.02
克,7,6.0,306.0,53663.0,4.73
兑,7,5.0,304.0,387.0,2.59
免,7,5.0,261.0,6707.0,3.83
兵,7,2.0,277.0,4945.0,3.69
冶,7,4.0,262.0,18.0,1.26
冷,7,1.0,260.0,9199.0,3.96
判,7,6.0,305.0,5960.0,3.78
别,7,1.0,305.0,102034.0,5.01
刨,7,4.0,220.0,92.0,1.96
利,7,23.0,306.0,32917.0,4.52
删,7,12.0,277.0,531.0,2.73
助,7,10.0,306.0,16435.0,4.22
努,7,2.0,261.0,6731.0,3.83
劫,7,13.0,220.0,3238.0,3.51
匣,7,12.0,219.0,76.0,1.88
即,7,19.0,220.0,8012.0,3.9
卵,7,1.0,260.0,482.0,2.68
君,7,5.0,276.0,1901.0,3.28
吝,7,3.0,305.0,114.0,2.06
吞,7,1.0,277.0,1176.0,3.07
吟,7,6.0,220.0,284.0,2.45
吠,7,8.0,306.0,113.0,2.05
否,7,2.0,259.0,13209.0,4.12
吩,7,5.0,278.0,313.0,2.5
含,7,5.0,219.0,1726.0,3.24
吵,7,2.0,261.0,3805.0,3.58
呐,7,5.0,305.0,1685.0,3.23
吸,6,24.0,278.0,11420.0,4.06
吹,7,2.0,276.0,2540.0,3.4
吻,7,2.0,262.0,4521.0,3.66
吼,7,1.0,261.0,767.0,2.88
吾,7,9.0,220.0,249.0,2.4
呆,7,3.0,277.0,7712.0,3.89
呈,7,11.0,220.0,821.0,2.91
告,7,3.0,305.0,76599.0,4.88
囤,7,7.0,305.0,30.0,1.48
困,7,1.0,305.0,5538.0,3.74
均,7,5.0,276.0,760.0,2.88
坊,7,4.0,278.0,213.0,2.33
坎,7,6.0,261.0,830.0,2.92
坐,7,5.0,304.0,19613.0,4.29
坑,7,2.0,275.0,574.0,2.76
壮,6,4.0,304.0,1974.0,3.3
夹,6,5.0,220.0,1900.0,3.28
妊,7,6.0,305.0,63.0,1.8
妒,7,8.0,306.0,1424.0,3.15
妓,7,24.0,306.0,1709.0,3.23
妖,7,8.0,278.0,677.0,2.83
妙,7,2.0,306.0,3967.0,3.6
妆,6,4.0,276.0,1424.0,3.15
妥,7,1.0,262.0,979.0,2.99
妨,7,3.0,220.0,768.0,2.89
孝,7,8.0,305.0,215.0,2.33
宋,7,5.0,305.0,340.0,2.53
完,7,6.0,220.0,37488.0,4.57
宏,7,8.0,219.0,249.0,2.4
尾,7,10.0,262.0,3109.0,3.49
尿,7,2.0,304.0,2843.0,3.45
局,7,6.0,220.0,12836.0,4.11
屁,7,3.0,306.0,7805.0,3.89
岔,7,3.0,305.0,277.0,2.44
巡,6,8.0,219.0,1886.0,3.28
巫,7,9.0,220.0,1649.0,3.22
希,7,24.0,278.0,31198.0,4.49
庇,7,25.0,306.0,418.0,2.62
床,7,2.0,220.0,8706.0,3.94
序,7,11.0,305.0,2630.0,3.42
弄,7,1.0,304.0,15246.0,4.18
弟,7,10.0,306.0,17768.0,4.25
形,7,5.0,220.0,6994.0,3.84
役,7,37.0,306.0,1022.0,3.01
忌,7,24.0,306.0,1332.0,3.12
忍,7,3.0,261.0,4557.0,3.66
忐,7,,,24.0,1.38
志,7,22.0,306.0,7203.0,3.86
忘,7,4.0,305.0,12906.0,4.11
忤,7,8.0,262.0,13.0,1.11
快,7,7.0,303.0,72900.0,4.86
我,7,1.0,261.0,2058980.0,6.31
戒,7,8.0,306.0,4018.0,3.6
扭,7,4.0,261.0,1517.0,3.18
扮,7,7.0,305.0,3077.0,3.49
扯,7,1.0,261.0,2952.0,3.47
扳,7,8.0,277.0,586.0,2.77
扶,7,17.0,220.0,767.0,2.88
批,7,7.0,278.0,2313.0,3.36
扼,7,14.0,305.0,172.0,2.24
找,7,3.0,261.0,73582.0,4.87
技,7,24.0,306.0,5233.0,3.72
抄,7,3.0,277.0,412.0,2.61
抉,7,,,287.0,2.46
把,7,2.0,263.0,126881.0,5.1
抑,7,37.0,306.0,1009.0,3.0
抒,7,12.0,278.0,87.0,1.94
抓,7,1.0,275.0,14157.0,4.15
投,7,2.0,219.0,11258.0,4.05
抖,7,2.0,261.0,766.0,2.88
抗,7,2.0,304.0,4009.0,3.6
折,7,9.0,220.0,3775.0,3.58
改,7,1.0,261.0,12916.0,4.11
攻,7,12.0,277.0,4562.0,3.66
旱,7,11.0,305.0,114.0,2.06
更,7,14.0,277.0,35397.0,4.55
杉,7,12.0,277.0,3006.0,3.48
李,7,9.0,262.0,2910.0,3.46
杏,7,5.0,306.0,217.0,2.34
材,7,4.0,220.0,2684.0,3.43
村,7,2.0,277.0,2907.0,3.46
杜,7,8.0,306.0,2508.0,3.4
束,7,10.0,306.0,11221.0,4.05
步,7,12.0,304.0,11260.0,4.05
每,7,6.0,261.0,28306.0,4.45
求,7,9.0,219.0,22773.0,4.36
汪,7,1.0,279.0,254.0,2.4
汲,6,19.0,220.0,52.0,1.72
决,6,13.0,218.0,22798.0,4.36
汽,7,13.0,306.0,3608.0,3.56
沃,7,7.0,305.0,3761.0,3.58
沉,7,8.0,218.0,3347.0,3.52
沏,7,10.0,278.0,19.0,1.28
沐,7,12.0,304.0,136.0,2.13
没,7,13.0,219.0,293874.0,5.47
冲,6,3.0,277.0,7521.0,3.88
沙,7,8.0,278.0,5683.0,3.75
灶,7,6.0,305.0,72.0,1.86
灼,7,11.0,218.0,164.0,2.21
灾,7,4.0,277.0,1870.0,3.27
牡,7,6.0,260.0,120.0,2.08
牢,7,5.0,220.0,3297.0,3.52
狂,7,2.0,219.0,8951.0,3.95
男,7,5.0,217.0,30316.0,4.48
秃,7,1.0,278.0,446.0,2.65
秀,7,6.0,305.0,5062.0,3.7
私,7,12.0,277.0,7253.0,3.86
究,7,11.0,305.0,6461.0,3.81
系,7,6.0,306.0,29334.0,4.47
罕,7,2.0,261.0,627.0,2.8
肖,7,8.0,305.0,1137.0,3.06
肚,7,8.0,306.0,1684.0,3.23
肛,7,7.0,277.0,165.0,2.22
肝,7,7.0,276.0,833.0,2.92
育,8,42.0,276.0,3232.0,3.51
良,7,4.0,219.0,3045.0,3.48
芋,6,42.0,276.0,79.0,1.9
芒,6,5.0,217.0,491.0,2.69
见,4,19.0,305.0,85723.0,4.93
角,7,11.0,261.0,8735.0,3.94
言,7,14.0,220.0,13176.0,4.12
谷,7,7.0,261.0,1867.0,3.27
豆,7,6.0,305.0,2056.0,3.31
贝,4,10.0,305.0,17592.0,4.25
赤,7,7.0,306.0,694.0,2.84
走,7,1.0,260.0,82765.0,4.92
足,7,4.0,219.0,8917.0,3.95
身,7,10.0,278.0,38760.0,4.59
车,4,1.0,277.0,55587.0,4.74
辛,7,9.0,276.0,3020.0,3.48
辰,7,8.0,218.0,112.0,2.05
迂,6,42.0,276.0,54.0,1.73
迄,6,13.0,306.0,179.0,2.25
迅,6,7.0,305.0,597.0,2.78
那,6,5.0,305.0,365024.0,5.56
邦,6,4.0,277.0,3240.0,3.51
邪,6,12.0,220.0,2246.0,3.35
里,7,9.0,262.0,190694.0,5.28
防,6,3.0,220.0,6640.0,3.82
并,6,4.0,305.0,26283.0,4.42
乖,8,1.0,277.0,2424.0,3.38
乳,8,2.0,261.0,1605.0,3.21
事,8,29.0,306.0,179716.0,5.25
些,8,3.0,278.0,113122.0,5.05
亚,6,5.0,307.0,15689.0,4.2
享,8,4.0,262.0,5485.0,3.74
京,8,14.0,277.0,1329.0,3.12
佩,8,3.0,305.0,2476.0,3.39
佯,8,7.0,220.0,40.0,1.6
佳,8,13.0,278.0,2309.0,3.36
佻,8,3.0,219.0,30.0,1.48
使,8,7.0,262.0,16913.0,4.23
侄,8,12.0,220.0,785.0,2.89
来,7,5.0,218.0,377902.0,5.58
例,8,23.0,306.0,3309.0,3.52
侍,8,29.0,306.0,515.0,2.71
侏,8,,,256.0,2.41
供,8,12.0,277.0,5801.0,3.76
依,8,10.0,278.0,3656.0,3.56
儿,2,3.0,219.0,105402.0,5.02
兔,8,2.0,306.0,1452.0,3.16
两,7,2.0,261.0,39972.0,4.6
其,8,23.0,220.0,36285.0,4.56
具,8,15.0,306.0,8138.0,3.91
典,8,4.0,261.0,3276.0,3.52
函,8,5.0,219.0,206.0,2.31
初,7,4.0,278.0,3740.0,3.57
刮,8,6.0,277.0,920.0,2.96
到,8,8.0,305.0,290231.0,5.46
制,8,22.0,306.0,16519.0,4.22
刷,8,2.0,276.0,1394.0,3.14
刺,8,3.0,305.0,4820.0,3.68
刻,8,6.0,306.0,9844.0,3.99
剁,8,7.0,305.0,111.0,2.05
卑,8,5.0,277.0,1014.0,3.01
卓,8,11.0,218.0,450.0,2.65
协,6,12.0,220.0,4191.0,3.62
卦,8,2.0,305.0,512.0,2.71
卷,8,6.0,304.0,3334.0,3.52
卸,9,14.0,306.0,476.0,2.68
叔,8,5.0,220.0,5419.0,3.73
取,8,3.0,261.0,12409.0,4.09
受,8,9.0,305.0,38688.0,4.59
呢,8,1.0,8.0,77341.0,4.89
周,8,5.0,278.0,21092.0,4.32
味,8,13.0,306.0,11803.0,4.07
呵,8,3.0,277.0,1650.0,3.22
呻,8,10.0,278.0,138.0,2.14
呼,8,3.0,278.0,8561.0,3.93
命,8,1.0,305.0,25014.0,4.4
咀,8,6.0,262.0,85.0,1.93
咁,8,,,,
咆,8,4.0,220.0,134.0,2.13
咋,8,1.0,261.0,426.0,2.63
和,8,14.0,305.0,155937.0,5.19
咒,8,5.0,306.0,1840.0,3.26
咕,8,11.0,277.0,391.0,2.59
咖,8,1.0,277.0,5252.0,3.72
固,8,4.0,305.0,1948.0,3.29
坡,8,2.0,278.0,510.0,2.71
坦,8,4.0,262.0,4880.0,3.69
垃,8,4.0,304.0,3274.0,3.52
夜,8,9.0,306.0,9438.0,3.97
奇,8,23.0,220.0,17952.0,4.25
奈,8,4.0,304.0,1450.0,3.16
奉,8,4.0,305.0,1326.0,3.12
奔,8,2.0,277.0,1170.0,3.07
妹,8,7.0,305.0,9193.0,3.96
妻,8,10.0,278.0,8809.0,3.94
姆,8,6.0,260.0,9868.0,3.99
姊,7,4.0,262.0,144.0,2.16
始,8,7.0,262.0,33678.0,4.53
姐,8,4.0,262.0,15933.0,4.2
姑,8,11.0,277.0,5640.0,3.75
姓,8,5.0,306.0,1997.0,3.3
委,8,10.0,262.0,5183.0,3.71
季,8,24.0,306.0,6585.0,3.82
孤,8,11.0,277.0,3526.0,3.55
宗,8,5.0,277.0,1751.0,3.24
官,8,7.0,277.0,21405.0,4.33
定,8,5.0,305.0,81657.0,4.91
宛,8,7.0,262.0,138.0,2.14
宜,8,16.0,220.0,1454.0,3.16
尚,8,4.0,305.0,2594.0,3.41
居,8,11.0,278.0,7197.0,3.86
届,8,8.0,306.0,522.0,2.72
屈,8,10.0,277.0,765.0,2.88
岩,8,14.0,220.0,962.0,2.98
岳,8,9.0,304.0,218.0,2.34
岸,8,7.0,305.0,1693.0,3.23
帖,8,3.0,276.0,262.0,2.42
幸,8,5.0,306.0,13109.0,4.12
底,8,4.0,262.0,20210.0,4.31
庖,8,4.0,220.0,13.0,1.11
店,8,11.0,305.0,11021.0,4.04
府,8,11.0,262.0,4402.0,3.64
延,6,14.0,220.0,1821.0,3.26
弦,8,9.0,220.0,384.0,2.58
弧,8,10.0,220.0,96.0,1.98
彼,8,5.0,262.0,3774.0,3.58
往,8,4.0,261.0,11516.0,4.06
征,8,9.0,277.0,2504.0,3.4
忠,8,6.0,277.0,2383.0,3.38
念,8,2.0,305.0,7530.0,3.88
忽,8,3.0,278.0,1572.0,3.2
怕,8,2.0,305.0,17550.0,4.24
怡,8,16.0,220.0,100.0,2.0
性,8,5.0,306.0,28102.0,4.45
怪,8,1.0,305.0,17328.0,4.24
怯,8,6.0,305.0,181.0,2.26
或,8,14.0,305.0,30931.0,4.49
戾,8,23.0,306.0,22.0,1.34
房,8,3.0,220.0,25246.0,4.4
所,8,4.0,260.0,100444.0,5.0
承,8,11.0,220.0,8322.0,3.92
抨,8,5.0,278.0,71.0,1.85
披,8,7.0,278.0,883.0,2.95
抬,8,4.0,219.0,1496.0,3.17
抱,8,7.0,305.0,26803.0,4.43
抵,8,4.0,262.0,1716.0,3.23
抹,8,1.0,262.0,867.0,2.94
押,8,5.0,279.0,1557.0,3.19
抽,8,2.0,278.0,4423.0,3.65
抿,8,5.0,260.0,14.0,1.15
拂,8,17.0,220.0,104.0,2.02
拆,8,1.0,276.0,1243.0,3.09
拇,8,6.0,260.0,361.0,2.56
拉,8,4.0,276.0,31007.0,4.49
抛,7,1.0,278.0,2455.0,3.39
拌,8,7.0,305.0,317.0,2.5
拍,8,1.0,277.0,11578.0,4.06
拐,8,1.0,261.0,879.0,2.94
拒,7,15.0,306.0,3485.0,3.54
拓,8,2.0,306.0,218.0,2.34
拔,8,3.0,221.0,1529.0,3.18
拖,8,4.0,278.0,3331.0,3.52
拘,8,11.0,278.0,1058.0,3.02
拙,8,11.0,218.0,233.0,2.37
招,8,3.0,277.0,5342.0,3.73
放,8,1.0,306.0,46528.0,4.67
斧,8,11.0,262.0,330.0,2.52
于,3,42.0,276.0,45429.0,4.66
旺,8,4.0,305.0,498.0,2.7
昂,8,1.0,218.0,1104.0,3.04
昆,8,4.0,277.0,532.0,2.73
昌,8,3.0,278.0,232.0,2.37
明,8,7.0,219.0,69749.0,4.84
昏,8,3.0,277.0,1875.0,3.27
易,8,37.0,306.0,11949.0,4.08
昔,8,9.0,220.0,273.0,2.44
朋,8,9.0,220.0,32843.0,4.52
服,8,17.0,220.0,24279.0,4.39
杯,8,5.0,277.0,10466.0,4.02
东,5,5.0,277.0,44037.0,4.64
松,8,1.0,277.0,9051.0,3.96
板,8,5.0,261.0,8354.0,3.92
枇,8,,,,
枉,8,4.0,261.0,160.0,2.2
析,8,24.0,278.0,1793.0,3.25
枕,8,4.0,261.0,715.0,2.85
林,8,9.0,217.0,9991.0,4.0
果,8,3.0,262.0,91471.0,4.96
枝,8,11.0,278.0,500.0,2.7
欣,8,9.0,276.0,1870.0,3.27
武,8,8.0,262.0,6516.0,3.81
歧,8,23.0,220.0,692.0,2.84
氛,8,5.0,278.0,741.0,2.87
沮,8,11.0,278.0,827.0,2.92
河,8,12.0,219.0,3471.0,3.54
沸,8,8.0,306.0,198.0,2.3
油,8,8.0,220.0,10553.0,4.02
治,8,22.0,306.0,11940.0,4.08
沼,8,3.0,261.0,433.0,2.64
沾,8,4.0,277.0,790.0,2.9
沿,8,14.0,220.0,877.0,2.94
况,7,5.0,305.0,13269.0,4.12
泄,8,14.0,306.0,1630.0,3.21
泊,8,15.0,220.0,334.0,2.52
泌,8,8.0,306.0,171.0,2.23
法,8,2.0,261.0,60750.0,4.78
泡,8,3.0,306.0,2747.0,3.44
波,8,7.0,278.0,7341.0,3.87
泣,8,13.0,306.0,563.0,2.75
泥,8,4.0,219.0,1472.0,3.17
注,8,10.0,306.0,15259.0,4.18
泳,8,12.0,260.0,2361.0,3.37
炆,8,6.0,220.0,3.0,0.48
炊,8,2.0,276.0,27.0,1.43
炎,8,14.0,220.0,825.0,2.92
炒,8,2.0,261.0,1708.0,3.23
炙,8,22.0,306.0,79.0,1.9
爬,8,4.0,219.0,2192.0,3.34
争,6,9.0,277.0,9959.0,4.0
爸,8,4.0,307.0,53025.0,4.72
版,8,5.0,261.0,2708.0,3.43
牧,8,12.0,304.0,1896.0,3.28
物,8,13.0,306.0,30079.0,4.48
状,7,4.0,304.0,6080.0,3.78
狐,8,10.0,220.0,626.0,2.8
狒,8,8.0,306.0,107.0,2.03
狗,8,3.0,261.0,13978.0,4.15
狙,8,11.0,278.0,487.0,2.69
玩,8,6.0,220.0,28964.0,4.46
玫,8,13.0,219.0,703.0,2.85
疙,8,,,155.0,2.19
的,8,1.0,9.0,1762079.0,6.25
盲,8,5.0,217.0,662.0,2.82
直,8,12.0,220.0,46163.0,4.66
知,8,11.0,278.0,211542.0,5.33
社,7,7.0,306.0,5084.0,3.71
祀,7,,,45.0,1.65
秉,8,7.0,261.0,68.0,1.83
空,8,1.0,277.0,15517.0,4.19
纠,5,3.0,277.0,918.0,2.96
股,8,7.0,261.0,5724.0,3.76
肢,8,11.0,278.0,615.0,2.79
肥,8,2.0,220.0,2292.0,3.36
肩,8,16.0,277.0,1653.0,3.22
肯,8,4.0,259.0,22710.0,4.36
肺,8,8.0,306.0,1157.0,3.06
卧,8,7.0,305.0,2039.0,3.31
舍,8,1.0,262.0,1482.0,3.17
芙,7,17.0,220.0,1008.0,3.0
芝,6,11.0,278.0,1342.0,3.13
芥,7,8.0,306.0,227.0,2.36
芬,7,5.0,278.0,1865.0,3.27
芭,7,7.0,279.0,1584.0,3.2
花,7,1.0,277.0,17379.0,4.24
芳,7,4.0,278.0,289.0,2.46
芹,7,8.0,218.0,64.0,1.81
虎,8,3.0,262.0,1745.0,3.24
表,8,4.0,260.0,31395.0,4.5
迎,7,11.0,220.0,9589.0,3.98
近,7,10.0,305.0,17330.0,4.24
返,7,2.0,262.0,1326.0,3.12
金,8,9.0,277.0,19210.0,4.28
长,4,2.0,261.0,42596.0,4.63
门,3,2.0,219.0,25908.0,4.41
阻,7,5.0,261.0,5382.0,3.73
阿,7,2.0,275.0,15489.0,4.19
陀,7,8.0,220.0,251.0,2.4
附,7,16.0,306.0,4227.0,3.63
雨,8,9.0,260.0,3189.0,3.5
青,8,9.0,278.0,3107.0,3.49
非,8,7.0,278.0,39443.0,4.6
亮,9,5.0,305.0,14157.0,4.15
侮,9,8.0,262.0,752.0,2.88
侯,9,3.0,219.0,217.0,2.34
侵,9,3.0,276.0,2205.0,3.34
便,9,7.0,305.0,13982.0,4.15
促,9,7.0,304.0,670.0,2.83
俄,9,9.0,219.0,3021.0,3.48
俊,9,6.0,304.0,927.0,2.97
俏,9,5.0,306.0,188.0,2.27
俐,9,,,57.0,1.76
俗,9,1.0,219.0,1194.0,3.08
俘,9,17.0,220.0,465.0,2.67
俚,9,9.0,262.0,71.0,1.85
保,9,5.0,261.0,39731.0,4.6
侠,8,12.0,219.0,1188.0,3.07
信,9,2.0,304.0,57928.0,4.76
冒,9,5.0,305.0,5729.0,3.76
冠,9,8.0,305.0,2997.0,3.48
剃,9,11.0,306.0,423.0,2.63
削,9,3.0,306.0,437.0,2.64
前,9,8.0,220.0,75236.0,4.88
刹,8,8.0,278.0,533.0,2.73
劲,7,10.0,305.0,3832.0,3.58
勃,9,15.0,220.0,1956.0,3.29
勇,9,12.0,260.0,3885.0,3.59
勉,9,5.0,261.0,310.0,2.49
南,9,5.0,217.0,6276.0,3.8
却,7,5.0,305.0,13707.0,4.14
厘,9,12.0,220.0,212.0,2.33
厚,9,4.0,305.0,1020.0,3.01
叛,9,6.0,305.0,3045.0,3.48
咬,9,4.0,262.0,2419.0,3.38
咭,9,,,,
咱,9,1.0,219.0,7352.0,3.87
咳,9,2.0,220.0,460.0,2.66
咽,9,14.0,306.0,340.0,2.53
哀,9,6.0,278.0,1019.0,3.01
品,9,1.0,262.0,14318.0,4.16
哄,9,1.0,261.0,430.0,2.63
哆,9,1.0,279.0,32.0,1.51
哎,8,6.0,278.0,1665.0,3.22
垂,8,6.0,218.0,668.0,2.82
型,9,5.0,220.0,7502.0,3.88
垮,9,1.0,261.0,690.0,2.84
城,9,11.0,220.0,10406.0,4.02
奏,9,3.0,304.0,2153.0,3.33
契,9,13.0,306.0,828.0,2.92
姣,9,14.0,277.0,6.0,0.78
姥,9,6.0,260.0,202.0,2.31
姨,9,16.0,220.0,1249.0,3.1
姪,9,,,4.0,0.6
姻,9,7.0,278.0,2245.0,3.35
姿,9,13.0,277.0,1548.0,3.19
威,9,4.0,278.0,11142.0,4.05
娃,9,1.0,220.0,2802.0,3.45
孩,9,3.0,220.0,62601.0,4.8
客,9,6.0,306.0,12810.0,4.11
宣,9,3.0,279.0,3934.0,3.59
室,9,29.0,306.0,19103.0,4.28
宦,9,,,4.0,0.6
封,9,9.0,277.0,5258.0,3.72
屋,9,6.0,278.0,6385.0,3.81
尸,3,10.0,278.0,7786.0,3.89
屏,9,11.0,217.0,883.0,2.95
巷,9,6.0,306.0,489.0,2.69
帝,9,10.0,306.0,15988.0,4.2
幽,9,6.0,278.0,1608.0,3.21
度,9,8.0,306.0,17384.0,4.24
建,8,19.0,305.0,9772.0,3.99
待,9,3.0,277.0,16314.0,4.21
徇,9,,,6.0,0.78
很,9,3.0,261.0,219622.0,5.34
律,9,5.0,305.0,12028.0,4.08
怎,9,1.0,259.0,129740.0,5.11
怒,9,1.0,305.0,2876.0,3.46
思,9,12.0,277.0,34855.0,4.54
怠,9,10.0,305.0,52.0,1.72
急,9,19.0,220.0,7604.0,3.88
怨,9,5.0,306.0,2077.0,3.32
恒,9,6.0,218.0,627.0,2.8
恍,9,3.0,261.0,95.0,1.98
恢,9,6.0,278.0,2243.0,3.35
恤,9,11.0,305.0,598.0,2.78
恨,9,1.0,305.0,4848.0,3.69
恪,9,,,44.0,1.64
恬,9,6.0,219.0,20.0,1.3
恰,9,3.0,304.0,1544.0,3.19
扁,9,2.0,261.0,641.0,2.81
拜,9,4.0,306.0,14722.0,4.17
括,9,6.0,277.0,2502.0,3.4
拭,9,29.0,306.0,170.0,2.23
拮,9,13.0,220.0,13.0,1.11
拯,9,2.0,261.0,2317.0,3.36
拱,9,4.0,261.0,148.0,2.17
拷,9,4.0,260.0,509.0,2.71
拼,9,1.0,278.0,2387.0,3.38
拾,9,10.0,220.0,2362.0,3.37
持,9,6.0,220.0,17301.0,4.24
指,9,11.0,262.0,22020.0,4.34
按,9,7.0,305.0,6831.0,3.83
挑,9,1.0,277.0,5673.0,3.75
挖,9,4.0,278.0,2184.0,3.34
政,9,5.0,305.0,8186.0,3.91
故,9,4.0,305.0,11435.0,4.06
施,9,10.0,278.0,3264.0,3.51
既,9,24.0,306.0,4023.0,3.6
星,9,6.0,278.0,20974.0,4.32
映,9,2.0,306.0,931.0,2.97
春,9,2.0,277.0,2060.0,3.31
昨,9,1.0,220.0,10063.0,4.0
是,9,29.0,306.0,1172098.0,6.07
枯,9,7.0,277.0,311.0,2.49
架,9,5.0,306.0,8023.0,3.9
枷,9,13.0,278.0,68.0,1.83
枸,9,3.0,261.0,16.0,1.2
柏,9,15.0,220.0,1343.0,3.13
某,9,2.0,261.0,10247.0,4.01
柑,9,7.0,276.0,43.0,1.63
染,9,2.0,260.0,3274.0,3.52
柔,9,3.0,218.0,1542.0,3.19
柚,9,11.0,306.0,56.0,1.75
查,9,6.0,219.0,31095.0,4.49
柱,9,10.0,306.0,551.0,2.74
柳,9,4.0,262.0,288.0,2.46
栅,9,5.0,306.0,277.0,2.44
柿,9,29.0,306.0,134.0,2.13
歪,9,1.0,276.0,583.0,2.77
殃,9,4.0,278.0,114.0,2.06
段,9,5.0,305.0,9577.0,3.98
毒,9,5.0,220.0,12056.0,4.08
泉,9,9.0,220.0,917.0,2.96
洋,9,7.0,220.0,2225.0,3.35
洗,9,6.0,262.0,8220.0,3.91
洞,9,6.0,305.0,2997.0,3.48
津,9,9.0,277.0,559.0,2.75
洪,9,8.0,219.0,453.0,2.66
汹,7,,,84.0,1.92
活,9,1.0,219.0,38236.0,4.58
洽,9,3.0,304.0,189.0,2.28
派,9,2.0,305.0,12704.0,4.1
流,10,10.0,220.0,11946.0,4.08
炫,9,5.0,305.0,531.0,2.73
炭,9,4.0,306.0,236.0,2.37
炮,9,3.0,306.0,1227.0,3.09
