,Character-1,Character-2,Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-log-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-log-C2,C&B-Subtitle-raw-W,C&B-Subtitle-log-W,HD-1,HD-2,Num-neighbor-1,Num-neighbor-2
59,二,楼,二樓,二楼,2,15,16814,4.23,9176,3.96,,,2,3,305,219
60,人,力,人力,人力,2,2,373292,5.57,44859,4.65,168,2.23,5,23,219,306
61,人,口,人口,人口,2,3,373292,5.57,21385,4.33,555,2.74,5,1,219,261
62,人,士,人士,人士,2,3,373292,5.57,31972,4.50,592,2.77,5,29,219,306
63,人,工,人工,人工,2,3,373292,5.57,44548,4.65,204,2.31,5,12,219,277
64,人,才,人才,人才,2,3,373292,5.57,46044,4.66,443,2.65,5,4,219,220
65,人,手,人手,人手,2,4,373292,5.57,75608,4.88,162,2.21,5,3,219,261
66,人,文,人文,人文,2,4,373292,5.57,14196,4.15,12,1.08,5,6,219,220
67,人,世,人世,人世,2,5,373292,5.57,21566,4.33,125,2.10,5,29,219,306
68,人,奶,人奶,人奶,2,5,373292,5.57,8037,3.91,,,5,4,219,260
69,人,民,人民,人民,2,5,373292,5.57,9468,3.98,1661,3.22,5,4,219,218
70,人,生,人生,人生,2,5,373292,5.57,162725,5.21,2852,3.46,5,6,219,278
71,人,名,人名,人名,2,6,373292,5.57,43229,4.64,28,1.45,5,7,219,219
72,人,次,人次,人次,2,6,373292,5.57,58108,4.76,3,0.48,5,3,219,305
73,人,身,人身,人身,2,7,373292,5.57,38760,4.59,189,2.28,5,10,219,278
74,人,事,人事,人事,2,8,373292,5.57,179716,5.25,112,2.05,5,29,219,306
75,人,命,人命,人命,2,8,373292,5.57,25014,4.40,178,2.25,5,1,219,305
76,人,性,人性,人性,2,8,373292,5.57,28102,4.45,373,2.57,5,5,219,306
77,人,物,人物,人物,2,8,373292,5.57,30079,4.48,2014,3.30,5,13,219,306
78,人,品,人品,人品,2,9,373292,5.57,14318,4.16,64,1.81,5,1,219,262
79,人,流,人流,人流,2,9,373292,5.57,11946,4.08,32,1.51,5,10,219,220
80,人,为,人為,人为,2,9,373292,5.57,249231,5.40,80,1.90,5,13,219,220
81,人,们,人們,人们,2,10,373292,5.57,701754,5.85,7990,3.90,5,1,219,10
82,人,员,人員,人员,2,10,373292,5.57,29907,4.48,2781,3.44,5,15,219,220
83,人,家,人家,人家,2,10,373292,5.57,112387,5.05,1027,3.01,5,13,219,278
84,人,格,人格,人格,2,10,373292,5.57,19477,4.29,362,2.56,5,9,219,220
85,人,马,人馬,人马,2,10,373292,5.57,34892,4.54,129,2.11,5,4,219,262
86,人,参,人參,人参,2,11,373292,5.57,13574,4.13,30,1.48,5,2,219,277
87,人,情,人情,人情,2,11,373292,5.57,69279,4.84,207,2.32,5,3,219,220
88,人,造,人造,人造,2,11,373292,5.57,11461,4.06,186,2.27,5,6,219,305
89,人,间,人間,人间,2,12,373292,5.57,60047,4.78,350,2.54,5,16,219,277
90,人,猿,人猿,人猿,2,13,373292,5.57,188,2.27,26,1.41,5,15,219,220
91,人,瑞,人瑞,人瑞,2,13,373292,5.57,7937,3.90,,,5,5,219,304
92,人,群,人群,人群,2,13,373292,5.57,4880,3.69,622,2.79,5,2,219,217
93,人,道,人道,人道,2,13,373292,5.57,230531,5.36,86,1.93,5,8,219,305
94,人,种,人種,人种,2,14,373292,5.57,42396,4.63,84,1.92,5,4,219,261
95,人,称,人稱,人称,2,14,373292,5.57,6188,3.79,41,1.61,5,2,219,278
96,人,际,人際,人际,2,14,373292,5.57,7355,3.87,29,1.46,5,24,219,306
97,人,影,人影,人影,2,15,373292,5.57,16924,4.23,56,1.75,5,3,219,262
98,人,数,人數,人数,2,15,373292,5.57,14754,4.17,448,2.65,5,9,219,262
99,人,潮,人潮,人潮,2,15,373292,5.57,1485,3.17,,,5,3,219,219
100,人,缘,人緣,人缘,2,15,373292,5.57,1650,3.22,51,1.71,5,15,219,220
101,人,质,人質,人质,2,15,373292,5.57,5831,3.77,1014,3.01,5,12,219,220
102,人,选,人選,人选,2,16,373292,5.57,25419,4.41,609,2.78,5,1,219,261
103,人,证,人證,人证,2,19,373292,5.57,30165,4.48,19,1.28,5,5,219,305
104,人,类,人類,人类,2,19,373292,5.57,11326,4.05,3857,3.59,5,2,219,306
105,人,权,人權,人权,2,22,373292,5.57,10283,4.01,166,2.22,5,9,219,220
106,人,体,人體,人体,2,23,373292,5.57,26590,4.42,484,2.68,5,1,219,262
107,入,口,入口,入口,2,3,24269,4.39,21385,4.33,528,2.72,4,1,305,261
108,入,手,入手,入手,2,4,24269,4.39,75608,4.88,104,2.02,4,3,305,261
109,入,世,入世,入世,2,5,24269,4.39,21566,4.33,8,0.90,4,29,305,306
110,入,主,入主,入主,2,5,24269,4.39,28628,4.46,23,1.36,4,7,305,262
111,入,冬,入冬,入冬,2,5,24269,4.39,1099,3.04,2,0.30,4,5,305,277
112,入,伍,入伍,入伍,2,6,24269,4.39,3454,3.54,116,2.06,4,8,305,262
113,入,伙,入伙,入伙,2,6,24269,4.39,37637,4.58,149,2.17,4,3,305,261
114,入,定,入定,入定,2,8,24269,4.39,81657,4.91,9,0.95,4,5,305,305
115,入,股,入股,入股,2,8,24269,4.39,5724,3.76,8,0.90,4,7,305,261
116,入,门,入門,入门,2,8,24269,4.39,25908,4.41,48,1.68,4,2,305,219
117,入,侵,入侵,入侵,2,9,24269,4.39,2205,3.34,674,2.83,4,3,305,276
118,入,城,入城,入城,2,9,24269,4.39,10406,4.02,,,4,11,305,220
119,入,流,入流,入流,2,9,24269,4.39,11946,4.08,,,4,10,305,220
